state,gender,education,age,n
Niedersachsen,female,4,6,244370
Niedersachsen,female,4,7,179080
Niedersachsen,female,4,8,92960
Niedersachsen,female,5,1,670
Niedersachsen,female,5,2,84280
Niedersachsen,female,5,3,130990
Niedersachsen,female,5,4,165100
Niedersachsen,female,5,5,131790
Niedersachsen,female,5,6,70750
Niedersachsen,female,5,7,36810
Niedersachsen,female,5,8,18460
Niedersachsen,male,-1,1,0
Niedersachsen,male,-1,2,0
Niedersachsen,male,-1,3,0
Niedersachsen,male,-1,4,0
Niedersachsen,male,-1,5,0
Niedersachsen,male,-1,6,0
Niedersachsen,male,-1,7,0
Niedersachsen,male,-1,8,0
Niedersachsen,male,0,1,0
Niedersachsen,male,0,2,0
Niedersachsen,male,0,3,0
Niedersachsen,male,0,4,0
Niedersachsen,male,0,5,0
Niedersachsen,male,0,6,0
Niedersachsen,male,0,7,0
Niedersachsen,male,0,8,0
Niedersachsen,male,2,1,209560
Niedersachsen,male,2,2,103000
Niedersachsen,male,2,3,58930
Niedersachsen,male,2,4,82930
Niedersachsen,male,2,5,72280
Niedersachsen,male,2,6,52570
Niedersachsen,male,2,7,69710
Niedersachsen,male,2,8,31920
Niedersachsen,male,4,1,13020
Niedersachsen,male,4,2,275340
Niedersachsen,male,4,3,242690
Niedersachsen,male,4,4,362750
Niedersachsen,male,4,5,304910
Niedersachsen,male,4,6,234680
Niedersachsen,male,4,7,201240
Niedersachsen,male,4,8,73900
Niedersachsen,male,5,1,60
Niedersachsen,male,5,2,56370
Niedersachsen,male,5,3,129800
Niedersachsen,male,5,4,209870
Niedersachsen,male,5,5,170570
Niedersachsen,male,5,6,137060
Niedersachsen,male,5,7,89490
Niedersachsen,male,5,8,28340
Nordrhein-Westfalen,female,-1,1,0
Nordrhein-Westfalen,female,-1,2,0
Nordrhein-Westfalen,female,-1,3,0
Nordrhein-Westfalen,female,-1,4,0
Nordrhein-Westfalen,female,-1,5,0
Nordrhein-Westfalen,female,-1,6,0
Nordrhein-Westfalen,female,-1,7,0
Nordrhein-Westfalen,female,-1,8,0
Nordrhein-Westfalen,female,0,1,0
Nordrhein-Westfalen,female,0,2,0
Nordrhein-Westfalen,female,0,3,0
Nordrhein-Westfalen,female,0,4,0
Nordrhein-Westfalen,female,0,5,0
Nordrhein-Westfalen,female,0,6,0
Nordrhein-Westfalen,female,0,7,0
Nordrhein-Westfalen,female,0,8,0
Nordrhein-Westfalen,female,2,1,429060
Nordrhein-Westfalen,female,2,2,217390
Nordrhein-Westfalen,female,2,3,196420
Nordrhein-Westfalen,female,2,4,257060
Nordrhein-Westfalen,female,2,5,261750
Nordrhein-Westfalen,female,2,6,259020
Nordrhein-Westfalen,female,2,7,414370
Nordrhein-Westfalen,female,2,8,327070
Nordrhein-Westfalen,female,4,1,34350
Nordrhein-Westfalen,female,4,2,591890
Nordrhein-Westfalen,female,4,3,510120
Nordrhein-Westfalen,female,4,4,813890
Nordrhein-Westfalen,female,4,5,702410
Nordrhein-Westfalen,female,4,6,560870
Nordrhein-Westfalen,female,4,7,474810
Nordrhein-Westfalen,female,4,8,246310
Nordrhein-Westfalen,female,5,1,1920
Nordrhein-Westfalen,female,5,2,214750
Nordrhein-Westfalen,female,5,3,323050
Nordrhein-Westfalen,female,5,4,384000
Nordrhein-Westfalen,female,5,5,300510
Nordrhein-Westfalen,female,5,6,151030
Nordrhein-Westfalen,female,5,7,81770
Nordrhein-Westfalen,female,5,8,44260
Nordrhein-Westfalen,male,-1,1,0
Nordrhein-Westfalen,male,-1,2,0
Nordrhein-Westfalen,male,-1,3,0
Nordrhein-Westfalen,male,-1,4,0
Nordrhein-Westfalen,male,-1,5,0
Nordrhein-Westfalen,male,-1,6,0
Nordrhein-Westfalen,male,-1,7,0
Nordrhein-Westfalen,male,-1,8,0
Nordrhein-Westfalen,male,0,1,0
Nordrhein-Westfalen,male,0,2,0
Nordrhein-Westfalen,male,0,3,0
Nordrhein-Westfalen,male,0,4,0
Nordrhein-Westfalen,male,0,5,0
Nordrhein-Westfalen,male,0,6,0
Nordrhein-Westfalen,male,0,7,0
Nordrhein-Westfalen,male,0,8,0
Nordrhein-Westfalen,male,2,1,457950
Nordrhein-Westfalen,male,2,2,243930
Nordrhein-Westfalen,male,2,3,166530
Nordrhein-Westfalen,male,2,4,206220
Nordrhein-Westfalen,male,2,5,178670
Nordrhein-Westfalen,male,2,6,139770
Nordrhein-Westfalen,male,2,7,145260
Nordrhein-Westfalen,male,2,8,59380
Nordrhein-Westfalen,male,4,1,30720
Nordrhein-Westfalen,male,4,2,648240
Nordrhein-Westfalen,male,4,3,531800
Nordrhein-Westfalen,male,4,4,778760
Nordrhein-Westfalen,male,4,5,664640
Nordrhein-Westfalen,male,4,6,482910
Nordrhein-Westfalen,male,4,7,443660
Nordrhein-Westfalen,male,4,8,169930
Nordrhein-Westfalen,male,5,1,450
Nordrhein-Westfalen,male,5,2,141430
Nordrhein-Westfalen,male,5,3,304470
Nordrhein-Westfalen,male,5,4,492090
Nordrhein-Westfalen,male,5,5,395190
Nordrhein-Westfalen,male,5,6,274070
Nordrhein-Westfalen,male,5,7,196410
Nordrhein-Westfalen,male,5,8,69200
Rheinland-Pfalz,female,-1,1,0
Rheinland-Pfalz,female,-1,2,0
Rheinland-Pfalz,female,-1,3,0
Rheinland-Pfalz,female,-1,4,0
Rheinland-Pfalz,female,-1,5,0
Rheinland-Pfalz,female,-1,6,0
Rheinland-Pfalz,female,-1,7,0
Rheinland-Pfalz,female,-1,8,0
Rheinland-Pfalz,female,0,1,0
Rheinland-Pfalz,female,0,2,0
Rheinland-Pfalz,female,0,3,0
Rheinland-Pfalz,female,0,4,0
Rheinland-Pfalz,female,0,5,0
Rheinland-Pfalz,female,0,6,0
Rheinland-Pfalz,female,0,7,0
Rheinland-Pfalz,female,0,8,0
Rheinland-Pfalz,female,2,1,92570
Rheinland-Pfalz,female,2,2,42120
Rheinland-Pfalz,female,2,3,36270
Rheinland-Pfalz,female,2,4,53760
Rheinland-Pfalz,female,2,5,64720
Rheinland-Pfalz,female,2,6,70470
Rheinland-Pfalz,female,2,7,121220
Rheinland-Pfalz,female,2,8,90150
Rheinland-Pfalz,female,4,1,14500
Rheinland-Pfalz,female,4,2,144050
Rheinland-Pfalz,female,4,3,118000
Rheinland-Pfalz,female,4,4,192650
Rheinland-Pfalz,female,4,5,167610
Rheinland-Pfalz,female,4,6,116020
Rheinland-Pfalz,female,4,7,81630
Rheinland-Pfalz,female,4,8,44380
Rheinland-Pfalz,female,5,1,300
Rheinland-Pfalz,female,5,2,44680
Rheinland-Pfalz,female,5,3,68040
Rheinland-Pfalz,female,5,4,83420
Rheinland-Pfalz,female,5,5,67680
Rheinland-Pfalz,female,5,6,31650
Rheinland-Pfalz,female,5,7,17090
Rheinland-Pfalz,female,5,8,8360
Rheinland-Pfalz,male,-1,1,0
Rheinland-Pfalz,male,-1,2,0
Rheinland-Pfalz,male,-1,3,0
Rheinland-Pfalz,male,-1,4,0
Rheinland-Pfalz,male,-1,5,0
Rheinland-Pfalz,male,-1,6,0
Rheinland-Pfalz,male,-1,7,0
Rheinland-Pfalz,male,-1,8,0
Rheinland-Pfalz,male,0,1,0
Rheinland-Pfalz,male,0,2,0
Rheinland-Pfalz,male,0,3,0
Rheinland-Pfalz,male,0,4,0
Rheinland-Pfalz,male,0,5,0
Rheinland-Pfalz,male,0,6,0
Rheinland-Pfalz,male,0,7,0
Rheinland-Pfalz,male,0,8,0
Rheinland-Pfalz,male,2,1,100050
Rheinland-Pfalz,male,2,2,47400
Rheinland-Pfalz,male,2,3,29750
Rheinland-Pfalz,male,2,4,39400
Rheinland-Pfalz,male,2,5,36770
Rheinland-Pfalz,male,2,6,28120
Rheinland-Pfalz,male,2,7,38290
Rheinland-Pfalz,male,2,8,17310
Rheinland-Pfalz,male,4,1,12670
Rheinland-Pfalz,male,4,2,155030
Rheinland-Pfalz,male,4,3,119020
Rheinland-Pfalz,male,4,4,178890
Rheinland-Pfalz,male,4,5,164220
Rheinland-Pfalz,male,4,6,115060
Rheinland-Pfalz,male,4,7,101140
Rheinland-Pfalz,male,4,8,37490
Rheinland-Pfalz,male,5,1,10
Rheinland-Pfalz,male,5,2,32320
Rheinland-Pfalz,male,5,3,68570
Rheinland-Pfalz,male,5,4,116040
Rheinland-Pfalz,male,5,5,98600
Rheinland-Pfalz,male,5,6,67510
Rheinland-Pfalz,male,5,7,44700
Rheinland-Pfalz,male,5,8,15740
Saarland,female,-1,1,0
Saarland,female,-1,2,0
Saarland,female,-1,3,0
Saarland,female,-1,4,0
Saarland,female,-1,5,0
Saarland,female,-1,6,0
Saarland,female,-1,7,0
Saarland,female,-1,8,0
Saarland,female,0,1,0
Saarland,female,0,2,0
Saarland,female,0,3,0
Saarland,female,0,4,0
Saarland,female,0,5,0
Saarland,female,0,6,0
Saarland,female,0,7,0
Saarland,female,0,8,0
Saarland,female,2,1,21510
Saarland,female,2,2,11870
Saarland,female,2,3,9050
Saarland,female,2,4,15950
Saarland,female,2,5,18980
Saarland,female,2,6,18680
Saarland,female,2,7,32200
Saarland,female,2,8,23770
Saarland,female,4,1,3260
Saarland,female,4,2,32070
Saarland,female,4,3,28420
Saarland,female,4,4,47200
Saarland,female,4,5,46120
Saarland,female,4,6,32390
Saarland,female,4,7,25580
Saarland,female,4,8,12670
Saarland,female,5,1,70
Saarland,female,5,2,10350
Saarland,female,5,3,15590
Saarland,female,5,4,18810
Saarland,female,5,5,15740
Saarland,female,5,6,7300
Saarland,female,5,7,4080
Saarland,female,5,8,2190
Saarland,male,-1,1,0
Saarland,male,-1,2,0
Saarland,male,-1,3,0
Saarland,male,-1,4,0
Saarland,male,-1,5,0
Saarland,male,-1,6,0
Saarland,male,-1,7,0
Saarland,male,-1,8,0
Saarland,male,0,1,0
Saarland,male,0,2,0
Saarland,male,0,3,0
Saarland,male,0,4,0
Saarland,male,0,5,0
Saarland,male,0,6,0
Saarland,male,0,7,0
Saarland,male,0,8,0
Saarland,male,2,1,23230
Saarland,male,2,2,12440
Saarland,male,2,3,7390
Saarland,male,2,4,9480
Saarland,male,2,5,10560
Saarland,male,2,6,8130
Saarland,male,2,7,8010
Saarland,male,2,8,3320
Saarland,male,4,1,3260
Saarland,male,4,2,38270
Saarland,male,4,3,28330
Saarland,male,4,4,45560
Saarland,male,4,5,44560
Saarland,male,4,6,31160
Saarland,male,4,7,30360
Saarland,male,4,8,11410
Saarland,male,5,1,0
Saarland,male,5,2,7660
Saarland,male,5,3,15490
Saarland,male,5,4,26250
Saarland,male,5,5,24190
Saarland,male,5,6,16560
Saarland,male,5,7,10890
Saarland,male,5,8,4580
Sachsen,female,-1,1,0
Sachsen,female,-1,2,0
Sachsen,female,-1,3,0
Sachsen,female,-1,4,0
Sachsen,female,-1,5,0
Sachsen,female,-1,6,0
Sachsen,female,-1,7,0
Sachsen,female,-1,8,0
Sachsen,female,0,1,0
Sachsen,female,0,2,0
Sachsen,female,0,3,0
Sachsen,female,0,4,0
Sachsen,female,0,5,0
Sachsen,female,0,6,0
Sachsen,female,0,7,0
Sachsen,female,0,8,0
Sachsen,female,2,1,50990
Sachsen,female,2,2,29370
Sachsen,female,2,3,14280
Sachsen,female,2,4,16430
Sachsen,female,2,5,16530
Sachsen,female,2,6,25380
Sachsen,female,2,7,62570
Sachsen,female,2,8,68480
Sachsen,female,4,1,6520
Sachsen,female,4,2,150240
Sachsen,female,4,3,122100
Sachsen,female,4,4,169160
Sachsen,female,4,5,178120
Sachsen,female,4,6,156620
Sachsen,female,4,7,159050
Sachsen,female,4,8,80420
Sachsen,female,5,1,330
Sachsen,female,5,2,59510
Sachsen,female,5,3,80960
Sachsen,female,5,4,109370
Sachsen,female,5,5,115860
Sachsen,female,5,6,81980
Sachsen,female,5,7,51470
Sachsen,female,5,8,16750
Sachsen,male,-1,1,0
Sachsen,male,-1,2,0
Sachsen,male,-1,3,0
Sachsen,male,-1,4,0
Sachsen,male,-1,5,0
Sachsen,male,-1,6,0
Sachsen,male,-1,7,0
Sachsen,male,-1,8,0
Sachsen,male,0,1,0
Sachsen,male,0,2,0
Sachsen,male,0,3,0
Sachsen,male,0,4,0
Sachsen,male,0,5,0
Sachsen,male,0,6,0
Sachsen,male,0,7,0
Sachsen,male,0,8,0
Sachsen,male,2,1,54580
Sachsen,male,2,2,37700
Sachsen,male,2,3,19580
Sachsen,male,2,4,19550
Sachsen,male,2,5,16190
Sachsen,male,2,6,12280
Sachsen,male,2,7,16750
Sachsen,male,2,8,7940
Sachsen,male,4,1,6480
Sachsen,male,4,2,188650
Sachsen,male,4,3,151180
Sachsen,male,4,4,202020
Sachsen,male,4,5,187680
Sachsen,male,4,6,123850
Sachsen,male,4,7,110500
Sachsen,male,4,8,37070
Sachsen,male,5,1,40
Sachsen,male,5,2,36370
Sachsen,male,5,3,73210
Sachsen,male,5,4,91780
Sachsen,male,5,5,102680
Sachsen,male,5,6,100740
Sachsen,male,5,7,87710
Sachsen,male,5,8,30110
Sachsen-Anhalt,female,-1,1,0
Sachsen-Anhalt,female,-1,2,0
Sachsen-Anhalt,female,-1,3,0
Sachsen-Anhalt,female,-1,4,0
Sachsen-Anhalt,female,-1,5,0
Sachsen-Anhalt,female,-1,6,0
Sachsen-Anhalt,female,-1,7,0
Sachsen-Anhalt,female,-1,8,0
Sachsen-Anhalt,female,0,1,0
Sachsen-Anhalt,female,0,2,0
Sachsen-Anhalt,female,0,3,0
Sachsen-Anhalt,female,0,4,0
Sachsen-Anhalt,female,0,5,0
Sachsen-Anhalt,female,0,6,0
Sachsen-Anhalt,female,0,7,0
Sachsen-Anhalt,female,0,8,0
Sachsen-Anhalt,female,2,1,30870
Sachsen-Anhalt,female,2,2,19290
Sachsen-Anhalt,female,2,3,9870
Sachsen-Anhalt,female,2,4,10910
Sachsen-Anhalt,female,2,5,13140
Sachsen-Anhalt,female,2,6,17990
Sachsen-Anhalt,female,2,7,48120
Sachsen-Anhalt,female,2,8,43090
Sachsen-Anhalt,female,4,1,4210
Sachsen-Anhalt,female,4,2,83950
Sachsen-Anhalt,female,4,3,67800
Sachsen-Anhalt,female,4,4,108780
Sachsen-Anhalt,female,4,5,111230
Sachsen-Anhalt,female,4,6,88410
Sachsen-Anhalt,female,4,7,81950
Sachsen-Anhalt,female,4,8,40520
Sachsen-Anhalt,female,5,1,280
Sachsen-Anhalt,female,5,2,24890
Sachsen-Anhalt,female,5,3,34390
Sachsen-Anhalt,female,5,4,59430
Sachsen-Anhalt,female,5,5,64390
Sachsen-Anhalt,female,5,6,44070
Sachsen-Anhalt,female,5,7,26980
Sachsen-Anhalt,female,5,8,7810
Sachsen-Anhalt,male,-1,1,0
Sachsen-Anhalt,male,-1,2,0
Sachsen-Anhalt,male,-1,3,0
Sachsen-Anhalt,male,-1,4,0
Sachsen-Anhalt,male,-1,5,0
Sachsen-Anhalt,male,-1,6,0
Sachsen-Anhalt,male,-1,7,0
Sachsen-Anhalt,male,-1,8,0
Sachsen-Anhalt,male,0,1,0
Sachsen-Anhalt,male,0,2,0
Sachsen-Anhalt,male,0,3,0
Sachsen-Anhalt,male,0,4,0
Sachsen-Anhalt,male,0,5,0
Sachsen-Anhalt,male,0,6,0
Sachsen-Anhalt,male,0,7,0
Sachsen-Anhalt,male,0,8,0
Sachsen-Anhalt,male,2,1,32700
Sachsen-Anhalt,male,2,2,26420
Sachsen-Anhalt,male,2,3,12430
Sachsen-Anhalt,male,2,4,11870
Sachsen-Anhalt,male,2,5,10850
Sachsen-Anhalt,male,2,6,7990
Sachsen-Anhalt,male,2,7,12800
Sachsen-Anhalt,male,2,8,5130
Sachsen-Anhalt,male,4,1,3670
Sachsen-Anhalt,male,4,2,102810
Sachsen-Anhalt,male,4,3,87370
Sachsen-Anhalt,male,4,4,132950
Sachsen-Anhalt,male,4,5,122330
Sachsen-Anhalt,male,4,6,75650
Sachsen-Anhalt,male,4,7,66170
Sachsen-Anhalt,male,4,8,20540
Sachsen-Anhalt,male,5,1,10
Sachsen-Anhalt,male,5,2,13930
Sachsen-Anhalt,male,5,3,28350
Sachsen-Anhalt,male,5,4,41270
Sachsen-Anhalt,male,5,5,54700
Sachsen-Anhalt,male,5,6,52760
Sachsen-Anhalt,male,5,7,42300
Sachsen-Anhalt,male,5,8,13530
Schleswig-Holstein,female,-1,1,0
Schleswig-Holstein,female,-1,2,0
Schleswig-Holstein,female,-1,3,0
Schleswig-Holstein,female,-1,4,0
Schleswig-Holstein,female,-1,5,0
Schleswig-Holstein,female,-1,6,0
Schleswig-Holstein,female,-1,7,0
Schleswig-Holstein,female,-1,8,0
Schleswig-Holstein,female,0,1,0
Schleswig-Holstein,female,0,2,0
Schleswig-Holstein,female,0,3,0
Schleswig-Holstein,female,0,4,0
Schleswig-Holstein,female,0,5,0
Schleswig-Holstein,female,0,6,0
Schleswig-Holstein,female,0,7,0
Schleswig-Holstein,female,0,8,0
Schleswig-Holstein,female,2,1,73230
Schleswig-Holstein,female,2,2,30940
Schleswig-Holstein,female,2,3,23340
Schleswig-Holstein,female,2,4,34930
Schleswig-Holstein,female,2,5,34400
Schleswig-Holstein,female,2,6,36820
Schleswig-Holstein,female,2,7,66050
Schleswig-Holstein,female,2,8,48070
Schleswig-Holstein,female,4,1,4700
Schleswig-Holstein,female,4,2,88610
Schleswig-Holstein,female,4,3,86950
Schleswig-Holstein,female,4,4,142550
Schleswig-Holstein,female,4,5,113830
Schleswig-Holstein,female,4,6,105930
Schleswig-Holstein,female,4,7,79450
Schleswig-Holstein,female,4,8,37300
Schleswig-Holstein,female,5,1,250
Schleswig-Holstein,female,5,2,28760
Schleswig-Holstein,female,5,3,46090
Schleswig-Holstein,female,5,4,64260
Schleswig-Holstein,female,5,5,47780
Schleswig-Holstein,female,5,6,29820
Schleswig-Holstein,female,5,7,16550
Schleswig-Holstein,female,5,8,7390
Schleswig-Holstein,male,-1,1,0
Schleswig-Holstein,male,-1,2,0
Schleswig-Holstein,male,-1,3,0
Schleswig-Holstein,male,-1,4,0
Schleswig-Holstein,male,-1,5,0
Schleswig-Holstein,male,-1,6,0
Schleswig-Holstein,male,-1,7,0
Schleswig-Holstein,male,-1,8,0
Schleswig-Holstein,male,0,1,0
Schleswig-Holstein,male,0,2,0
Schleswig-Holstein,male,0,3,0
Schleswig-Holstein,male,0,4,0
Schleswig-Holstein,male,0,5,0
Schleswig-Holstein,male,0,6,0
Schleswig-Holstein,male,0,7,0
Schleswig-Holstein,male,0,8,0
Schleswig-Holstein,male,2,1,72700
Schleswig-Holstein,male,2,2,35660
Schleswig-Holstein,male,2,3,21800
Schleswig-Holstein,male,2,4,28150
Schleswig-Holstein,male,2,5,22930
Schleswig-Holstein,male,2,6,18030
Schleswig-Holstein,male,2,7,21550
Schleswig-Holstein,male,2,8,8760
Schleswig-Holstein,male,4,1,4240
Schleswig-Holstein,male,4,2,94660
Schleswig-Holstein,male,4,3,83990
Schleswig-Holstein,male,4,4,133310
Schleswig-Holstein,male,4,5,106320
Schleswig-Holstein,male,4,6,91230
Schleswig-Holstein,male,4,7,79630
Schleswig-Holstein,male,4,8,26760
Schleswig-Holstein,male,5,1,0
Schleswig-Holstein,male,5,2,18200
Schleswig-Holstein,male,5,3,43590
Schleswig-Holstein,male,5,4,76630
Schleswig-Holstein,male,5,5,62550
Schleswig-Holstein,male,5,6,53530
Schleswig-Holstein,male,5,7,36630
Schleswig-Holstein,male,5,8,10670
Thüringen,female,-1,1,0
Thüringen,female,-1,2,0
Thüringen,female,-1,3,0
Thüringen,female,-1,4,0
Thüringen,female,-1,5,0
Thüringen,female,-1,6,0
Thüringen,female,-1,7,0
Thüringen,female,-1,8,0
Thüringen,female,0,1,0
Thüringen,female,0,2,0
Thüringen,female,0,3,0
Thüringen,female,0,4,0
Thüringen,female,0,5,0
Thüringen,female,0,6,0
Thüringen,female,0,7,0
Thüringen,female,0,8,0
Thüringen,female,2,1,29120
Thüringen,female,2,2,15150
Thüringen,female,2,3,7920
Thüringen,female,2,4,8880
Thüringen,female,2,5,10400
Thüringen,female,2,6,15760
Thüringen,female,2,7,37550
Thüringen,female,2,8,36060
Thüringen,female,4,1,4970
Thüringen,female,4,2,81450
Thüringen,female,4,3,66860
Thüringen,female,4,4,100030
Thüringen,female,4,5,104870
Thüringen,female,4,6,79510
Thüringen,female,4,7,80820
Thüringen,female,4,8,38440
Thüringen,female,5,1,360
Thüringen,female,5,2,30650
Thüringen,female,5,3,38090
Thüringen,female,5,4,58260
Thüringen,female,5,5,64800
Thüringen,female,5,6,43610
Thüringen,female,5,7,25940
Thüringen,female,5,8,8430
Thüringen,male,-1,1,0
Thüringen,male,-1,2,0
Thüringen,male,-1,3,0
Thüringen,male,-1,4,0
Thüringen,male,-1,5,0
Thüringen,male,-1,6,0
Thüringen,male,-1,7,0
Thüringen,male,-1,8,0
Thüringen,male,0,1,0
Thüringen,male,0,2,0
Thüringen,male,0,3,0
Thüringen,male,0,4,0
Thüringen,male,0,5,0
Thüringen,male,0,6,0
Thüringen,male,0,7,0
Thüringen,male,0,8,0
Thüringen,male,2,1,31380
Thüringen,male,2,2,19080
Thüringen,male,2,3,10080
Thüringen,male,2,4,9940
Thüringen,male,2,5,10250
Thüringen,male,2,6,6810
Thüringen,male,2,7,9930
Thüringen,male,2,8,4250
Thüringen,male,4,1,3950
Thüringen,male,4,2,105240
Thüringen,male,4,3,85270
Thüringen,male,4,4,119830
Thüringen,male,4,5,112530
Thüringen,male,4,6,68350
Thüringen,male,4,7,59740
Thüringen,male,4,8,18500
Thüringen,male,5,1,30
Thüringen,male,5,2,19680
Thüringen,male,5,3,34040
Thüringen,male,5,4,44810
Thüringen,male,5,5,57160
Thüringen,male,5,6,53360
Thüringen,male,5,7,43530
Thüringen,male,5,8,13320
